domain,source,reference,model_output,rating_out_of_5(Anubhav)
education,"There was a game and a system called Bee Star, which was designed by a chess player and computer scientist and he decided that I would search until I found any passivity, any stability in the system.","बी स्टार नामक एक खेल और एक सिस्टम था, जिसे एक शतरंज खिलाड़ी व कंप्यूटर साइंटिस्ट द्वारा डिज़ाइन किया गया था और उन्होंने फैसला किया कि मैं तब तक खोज करूँगा जब मुझे सिस्टम में किसी प्रकार की निष्क्रियता, किसी प्रकार की स्थिरता प्राप्त नहीं होती है।
","बी स्टार नामक एक गेम और एक प्रणाली थी, जिसे एक शतरंज खिलाड़ी और कंप्यूटर वैज्ञानिक द्वारा डिजाइन किया गया था और उन्होंने फैसला किया कि मैं तब तक खोजूंगा जब तक मुझे सिस्टम में कोई निष्क्रियता, कोई स्थिरता नहीं मिलती।
",3
education,"There was a game and a system called Bee Star, which was designed by a chess player and computer scientist and he decided that I would search until I found any passivity, any stability in the system.","बी स्टार नामक एक खेल और एक सिस्टम था, जिसे एक शतरंज खिलाड़ी व कंप्यूटर साइंटिस्ट द्वारा डिज़ाइन किया गया था और उन्होंने फैसला किया कि मैं तब तक खोज करूँगा जब मुझे सिस्टम में किसी प्रकार की निष्क्रियता, किसी प्रकार की स्थिरता प्राप्त नहीं होती है।
","एक खेल और एक प्रणाली थी जिसे बी स्टार कहा जाता था, जिसे एक शतरंज खिलाड़ी और कंप्यूटर वैज्ञानिक द्वारा डिजाइन किया गया था और उन्होंने निर्णय लिया कि मैं तब तक खोज करूंगा जब तक मुझे इस प्रणाली में कोई निष्क्रियता, कोई स्थिरता नहीं मिल जाती।
",4
education,"There was a game and a system called Bee Star, which was designed by a chess player and computer scientist and he decided that I would search until I found any passivity, any stability in the system.","बी स्टार नामक एक खेल और एक सिस्टम था, जिसे एक शतरंज खिलाड़ी व कंप्यूटर साइंटिस्ट द्वारा डिज़ाइन किया गया था और उन्होंने फैसला किया कि मैं तब तक खोज करूँगा जब मुझे सिस्टम में किसी प्रकार की निष्क्रियता, किसी प्रकार की स्थिरता प्राप्त नहीं होती है।
","बी स्टार नामक एक खेल और एक प्रणाली थी, जिसे एक शतरंज खिलाड़ी और कंप्यूटर वैज्ञानिक द्वारा डिजाइन किया गया था और उन्होंने फैसला किया कि मैं तब तक खोज करूंगा जब तक मुझे कोई निष्क्रियता, सिस्टम में कोई स्थिरता नहीं मिल जाती ।
",3
education,"There was a game and a system called Bee Star, which was designed by a chess player and computer scientist and he decided that I would search until I found any passivity, any stability in the system.","बी स्टार नामक एक खेल और एक सिस्टम था, जिसे एक शतरंज खिलाड़ी व कंप्यूटर साइंटिस्ट द्वारा डिज़ाइन किया गया था और उन्होंने फैसला किया कि मैं तब तक खोज करूँगा जब मुझे सिस्टम में किसी प्रकार की निष्क्रियता, किसी प्रकार की स्थिरता प्राप्त नहीं होती है।
","एक खेल और एक प्रणाली थी जिसे बी स्टार कहा जाता था, जिसे एक शतरंज खिलाड़ी और कंप्यूटर वैज्ञानिक द्वारा डिजाइन किया गया था और उन्होंने निर्णय लिया कि मैं तब तक खोज करूंगा जब तक मुझे इस प्रणाली में कोई निष्क्रियता, कोई स्थिरता नहीं मिल जाती।
",4
education,"There was a game and a system called Bee Star, which was designed by a chess player and computer scientist and he decided that I would search until I found any passivity, any stability in the system.","बी स्टार नामक एक खेल और एक सिस्टम था, जिसे एक शतरंज खिलाड़ी व कंप्यूटर साइंटिस्ट द्वारा डिज़ाइन किया गया था और उन्होंने फैसला किया कि मैं तब तक खोज करूँगा जब मुझे सिस्टम में किसी प्रकार की निष्क्रियता, किसी प्रकार की स्थिरता प्राप्त नहीं होती है।
","बी स्टार नामक एक गेम और सिस्टम था, जिसे एक शतरंज खिलाड़ी और कंप्यूटर वैज्ञानिक द्वारा डिजाइन किया गया था और उन्होंने फैसला किया कि मैं तब तक खोज करूंगा जब तक कि मुझे सिस्टम में कोई निष्क्रियता या स्थिरता नहीं मिल जाती।
",5
education,"There was a game and a system called Bee Star, which was designed by a chess player and computer scientist and he decided that I would search until I found any passivity, any stability in the system.","बी स्टार नामक एक खेल और एक सिस्टम था, जिसे एक शतरंज खिलाड़ी व कंप्यूटर साइंटिस्ट द्वारा डिज़ाइन किया गया था और उन्होंने फैसला किया कि मैं तब तक खोज करूँगा जब मुझे सिस्टम में किसी प्रकार की निष्क्रियता, किसी प्रकार की स्थिरता प्राप्त नहीं होती है।
","बी स्टार नामक एक गेम और एक प्रणाली थी, जिसे एक शतरंज खिलाड़ी और कंप्यूटर वैज्ञानिक द्वारा डिजाइन किया गया था और उन्होंने फैसला किया कि मैं तब तक खोजूंगा जब तक मुझे सिस्टम में कोई निष्क्रियता, कोई स्थिरता नहीं मिलती।
",4
education,"What if I cut and paste them, I will have two cities, same city is visible twice in the route, which is not correct and some cities are not even visible, so it is not acceptable.","अगर मैं उन्हें काटकर चिपका दूँ तो क्या होगा, मेरे पास दो शहर होंगे, एक ही शहर मार्ग में दो बार दिखाई दे रहा है, जो सही नहीं है और कुछ शहर दिखाई भी नहीं देते हैं, इसलिए यह स्वीकार्य नहीं है।
","अगर मैं उन्हें काट और पेस्ट करता हूं, तो मेरे पास दो शहर होंगे, रूट में एक ही शहर दो बार दिखाई देगा, जो सही नहीं है और कुछ शहरों का पता नहीं चलेगा, इसलिए यह स्वीकार्य नहीं है।
",2
education,"What if I cut and paste them, I will have two cities, same city is visible twice in the route, which is not correct and some cities are not even visible, so it is not acceptable.","अगर मैं उन्हें काटकर चिपका दूँ तो क्या होगा, मेरे पास दो शहर होंगे, एक ही शहर मार्ग में दो बार दिखाई दे रहा है, जो सही नहीं है और कुछ शहर दिखाई भी नहीं देते हैं, इसलिए यह स्वीकार्य नहीं है।
","क्या होगा अगर मैं उन्हें काट और चिपका दूं, मेरे पास दो शहर होंगे, एक ही शहर मार्ग में दो बार दिखाई देगा, जो सही नहीं है और कुछ शहर तो दिखाई भी नहीं दे रहे हैं, इसलिए यह स्वीकार्य नहीं है।
",4
education,"What if I cut and paste them, I will have two cities, same city is visible twice in the route, which is not correct and some cities are not even visible, so it is not acceptable.","अगर मैं उन्हें काटकर चिपका दूँ तो क्या होगा, मेरे पास दो शहर होंगे, एक ही शहर मार्ग में दो बार दिखाई दे रहा है, जो सही नहीं है और कुछ शहर दिखाई भी नहीं देते हैं, इसलिए यह स्वीकार्य नहीं है।
","अगर मैंने उन्हें काट लिया और पेस्ट कर दिया, तो मेरे पास दो शहर होंगे, एक ही शहर रास्ते में दो बार दिखाई देता है, जो सही नहीं है और कुछ शहर तक दिखाई नहीं देते, इसलिए यह स्वीकार्य नहीं है।
",3
education,"What if I cut and paste them, I will have two cities, same city is visible twice in the route, which is not correct and some cities are not even visible, so it is not acceptable.","अगर मैं उन्हें काटकर चिपका दूँ तो क्या होगा, मेरे पास दो शहर होंगे, एक ही शहर मार्ग में दो बार दिखाई दे रहा है, जो सही नहीं है और कुछ शहर दिखाई भी नहीं देते हैं, इसलिए यह स्वीकार्य नहीं है।
","क्‍या दो पाइप और कुछकियों के दो चरणों में सभी शहरों में हर भवन के सृजित रात से चल रहा है, जिसे भी ठीक और विभिन्‍न शहरों के लिए भी वहां सृजित किया जा सकता है, तो देश के लिए भी खरीददारी की जा सकती है।
",1
education,"What if I cut and paste them, I will have two cities, same city is visible twice in the route, which is not correct and some cities are not even visible, so it is not acceptable.","अगर मैं उन्हें काटकर चिपका दूँ तो क्या होगा, मेरे पास दो शहर होंगे, एक ही शहर मार्ग में दो बार दिखाई दे रहा है, जो सही नहीं है और कुछ शहर दिखाई भी नहीं देते हैं, इसलिए यह स्वीकार्य नहीं है।
","अगर मैं उन्हें कट कर पेस्ट करता हूं, तो मेरे पास दो शहर होंगे, एक ही शहर मार्ग में दो बार दिखाई दे रहा है, जो सही नहीं है और कुछ शहर तो दिखाई भी नहीं दे रहे हैं, इसलिए यह स्वीकार्य नहीं है।
",3
education,"What if I cut and paste them, I will have two cities, same city is visible twice in the route, which is not correct and some cities are not even visible, so it is not acceptable.","अगर मैं उन्हें काटकर चिपका दूँ तो क्या होगा, मेरे पास दो शहर होंगे, एक ही शहर मार्ग में दो बार दिखाई दे रहा है, जो सही नहीं है और कुछ शहर दिखाई भी नहीं देते हैं, इसलिए यह स्वीकार्य नहीं है।
","क्या मैं उन्हें काट और चिपका दूं, मेरे पास दो शहर होंगे, रूट में एक शहर दो बार दिखाई दे रहा है, यह ठीक नहीं है और कुछ शहर तो दिखाई भी नहीं दे रहे, इसलिए यह स्वीकार्य नहीं है।
",4
education,"What if I cut and paste them, I will have two cities, same city is visible twice in the route, which is not correct and some cities are not even visible, so it is not acceptable.","अगर मैं उन्हें काटकर चिपका दूँ तो क्या होगा, मेरे पास दो शहर होंगे, एक ही शहर मार्ग में दो बार दिखाई दे रहा है, जो सही नहीं है और कुछ शहर दिखाई भी नहीं देते हैं, इसलिए यह स्वीकार्य नहीं है।
","क्या मैं उन्हें काट और पेस्ट कर दूँ, मेरे पास दो शहर होंगे, रास्ते में एक ही शहर दो बार दिखाई देगा, जो सही नहीं है और कुछ शहर तो दिखाई ही नहीं देंगे, इसलिए यह स्वीक
",2
education,"What if I cut and paste them, I will have two cities, same city is visible twice in the route, which is not correct and some cities are not even visible, so it is not acceptable.","अगर मैं उन्हें काटकर चिपका दूँ तो क्या होगा, मेरे पास दो शहर होंगे, एक ही शहर मार्ग में दो बार दिखाई दे रहा है, जो सही नहीं है और कुछ शहर दिखाई भी नहीं देते हैं, इसलिए यह स्वीकार्य नहीं है।
","अगर मैं उन्हें काट और पेस्ट करता हूँ, तो मेरे पास दो शहर होंगे, रूट में एक ही शहर दो बार दिखाई देगा, जो सही नहीं है और कुछ शहर तो दिखाई भी नहीं देंगे, इसलिए यह स्वीकार्य नहीं है।
",2
education,"What if I cut and paste them, I will have two cities, same city is visible twice in the route, which is not correct and some cities are not even visible, so it is not acceptable.","अगर मैं उन्हें काटकर चिपका दूँ तो क्या होगा, मेरे पास दो शहर होंगे, एक ही शहर मार्ग में दो बार दिखाई दे रहा है, जो सही नहीं है और कुछ शहर दिखाई भी नहीं देते हैं, इसलिए यह स्वीकार्य नहीं है।
","क्या होगा अगर मैं उन्हें काट दूँ और पेस्ट कर दूँ, तो मेरे पास दो शहर होंगे, एक ही शहर मार्ग में दो बार दिखाई देगा, जो सही नहीं है और कुछ शहर तो दिखाई ही नहीं देंगे, इसलिए यह स्वीकार्य नहीं है।
",4
education,"What if I cut and paste them, I will have two cities, same city is visible twice in the route, which is not correct and some cities are not even visible, so it is not acceptable.","अगर मैं उन्हें काटकर चिपका दूँ तो क्या होगा, मेरे पास दो शहर होंगे, एक ही शहर मार्ग में दो बार दिखाई दे रहा है, जो सही नहीं है और कुछ शहर दिखाई भी नहीं देते हैं, इसलिए यह स्वीकार्य नहीं है।
","क्या होगा अगर मैं उन्हें काट और पेस्ट करूं तो मेरे पास दो शहर होंगे, एक ही शहर मार्ग में दो बार दिखाई देता है, जो सही नहीं है और कुछ शहर भी दिखाई नहीं देते हैं, इसलिए यह स्वीकार्य नहीं है।
",4
education,"What if I cut and paste them, I will have two cities, same city is visible twice in the route, which is not correct and some cities are not even visible, so it is not acceptable.","अगर मैं उन्हें काटकर चिपका दूँ तो क्या होगा, मेरे पास दो शहर होंगे, एक ही शहर मार्ग में दो बार दिखाई दे रहा है, जो सही नहीं है और कुछ शहर दिखाई भी नहीं देते हैं, इसलिए यह स्वीकार्य नहीं है।
","अगर मैं उन्हें काटकर चिपका दूं तो मेरे पास दो शहर होंगे, एक ही शहर रास्ते में दो बार दिखाई देता है, जो सही नहीं है और कुछ शहर दिखाई भी नहीं दे रहे हैं, इसलिए यह स्वीकार्य नहीं है।
",4
education,"What if I cut and paste them, I will have two cities, same city is visible twice in the route, which is not correct and some cities are not even visible, so it is not acceptable.","अगर मैं उन्हें काटकर चिपका दूँ तो क्या होगा, मेरे पास दो शहर होंगे, एक ही शहर मार्ग में दो बार दिखाई दे रहा है, जो सही नहीं है और कुछ शहर दिखाई भी नहीं देते हैं, इसलिए यह स्वीकार्य नहीं है।
","अगर मैं उन्हें काट कर पेस्ट कर दूं तो क्या होगा, मेरे पास दो शहर होंगे, एक ही शहर मार्ग में दो बार दिखाई देगा, जो सही नहीं है और कुछ शहर तो दिखाई भी नहीं देते, इसलिए यह स्वीकार्य नहीं है।
",5
education,"What if I cut and paste them, I will have two cities, same city is visible twice in the route, which is not correct and some cities are not even visible, so it is not acceptable.","अगर मैं उन्हें काटकर चिपका दूँ तो क्या होगा, मेरे पास दो शहर होंगे, एक ही शहर मार्ग में दो बार दिखाई दे रहा है, जो सही नहीं है और कुछ शहर दिखाई भी नहीं देते हैं, इसलिए यह स्वीकार्य नहीं है।
","क्या होगा अगर मैं उन्हें काटता और चिपकाता हूं, मेरे पास दो शहर होंगे, एक ही शहर मार्ग में दो बार दिखाई देता है, जो सही नहीं है और कुछ शहर भी दिखाई नहीं दे रहे हैं, इसलिए यह स्वीकार्य नहीं है ।
",3
education,"What if I cut and paste them, I will have two cities, same city is visible twice in the route, which is not correct and some cities are not even visible, so it is not acceptable.","अगर मैं उन्हें काटकर चिपका दूँ तो क्या होगा, मेरे पास दो शहर होंगे, एक ही शहर मार्ग में दो बार दिखाई दे रहा है, जो सही नहीं है और कुछ शहर दिखाई भी नहीं देते हैं, इसलिए यह स्वीकार्य नहीं है।
","अगर मैं उन्हें काट कर पेस्ट कर दूं तो क्या होगा, मेरे पास दो शहर होंगे, एक ही शहर मार्ग में दो बार दिखाई देगा, जो सही नहीं है और कुछ शहर तो दिखाई भी नहीं देते, इसलिए यह स्वीकार्य नहीं है।
",4
education,"What if I cut and paste them, I will have two cities, same city is visible twice in the route, which is not correct and some cities are not even visible, so it is not acceptable.","अगर मैं उन्हें काटकर चिपका दूँ तो क्या होगा, मेरे पास दो शहर होंगे, एक ही शहर मार्ग में दो बार दिखाई दे रहा है, जो सही नहीं है और कुछ शहर दिखाई भी नहीं देते हैं, इसलिए यह स्वीकार्य नहीं है।
","अगर मैं उन्हें काटकर चिपका दूं, तो मेरे पास दो शहर होंगे, एक ही शहर मार्ग में दो बार दिखाई देगा, जो सही नहीं है और कुछ शहर दिखाई भी नहीं दे रहे हैं, इसलिए यह स्वीकार्य नहीं है।
",4
education,"What if I cut and paste them, I will have two cities, same city is visible twice in the route, which is not correct and some cities are not even visible, so it is not acceptable.","अगर मैं उन्हें काटकर चिपका दूँ तो क्या होगा, मेरे पास दो शहर होंगे, एक ही शहर मार्ग में दो बार दिखाई दे रहा है, जो सही नहीं है और कुछ शहर दिखाई भी नहीं देते हैं, इसलिए यह स्वीकार्य नहीं है।
","अगर मैं उन्हें काटकर चिपका दूं तो मेरे पास दो शहर होंगे, एक ही शहर रास्ते में दो बार दिखाई देता है, जो सही नहीं है और कुछ शहर दिखाई भी नहीं दे रहे हैं, इसलिए यह स्वीकार्य नहीं है।
",4
education,"Generate all the children of the parent node. And of course, once it's done, it starts with the leftmost child and then works on all its children, so on.","पैरेंट नोड के सभी चिल्ड्रेन जनरेट कीजिए।  और जाहिर है, एक बार यह होने के बाद, यह सबसे बाएं वाले चाइल्ड से शुरू होता है और फिर उसके सभी चिल्ड्रेन पर काम होता है, इसी तरह क्रम आगे बढ़ता है।
","पैरेंट नोड के सभी चिल्ड्रन को जनरेट करें। और बेशक, एक बार यह हो जाने के बाद, यह सबसे बाएं चिल्ड से शुरू होता है और फिर इसके बाद सभी चिल्ड्रन पर काम करता है, और इसी तरह।
",2
education,"Generate all the children of the parent node. And of course, once it's done, it starts with the leftmost child and then works on all its children, so on.","पैरेंट नोड के सभी चिल्ड्रेन जनरेट कीजिए।  और जाहिर है, एक बार यह होने के बाद, यह सबसे बाएं वाले चाइल्ड से शुरू होता है और फिर उसके सभी चिल्ड्रेन पर काम होता है, इसी तरह क्रम आगे बढ़ता है।
","पैरेंट नोड के सभी चिल्ड्रन को जनरेट करें। और निश्चित रूप से, एक बार यह हो जाने के बाद, यह सबसे बाईं ओर के चाइल्ड से शुरू होता है और फिर उसके सभी चिल्ड्रन पर काम करता है, और इसी तरह आगे बढ़ता है।
",3
education,"Generate all the children of the parent node. And of course, once it's done, it starts with the leftmost child and then works on all its children, so on.","पैरेंट नोड के सभी चिल्ड्रेन जनरेट कीजिए।  और जाहिर है, एक बार यह होने के बाद, यह सबसे बाएं वाले चाइल्ड से शुरू होता है और फिर उसके सभी चिल्ड्रेन पर काम होता है, इसी तरह क्रम आगे बढ़ता है।
","पैरेंट नोड के सभी चाइल्ड नोड्स जनरेट करें। और निश्चित रूप से, एक बार यह पूरा हो जाने के बाद, यह सबसे बाईं ओर वाले चाइल्ड से शुरू होता है और फिर उसके सभी चाइल्ड्स पर काम करता है, और यही प्रक्रिया जारी रहती है।
",4
education,"Generate all the children of the parent node. And of course, once it's done, it starts with the leftmost child and then works on all its children, so on.","पैरेंट नोड के सभी चिल्ड्रेन जनरेट कीजिए।  और जाहिर है, एक बार यह होने के बाद, यह सबसे बाएं वाले चाइल्ड से शुरू होता है और फिर उसके सभी चिल्ड्रेन पर काम होता है, इसी तरह क्रम आगे बढ़ता है।
","परिचालक आगे के लोगों की तरह, शादी वर्षयुद्ध वे की श्रेणी में सौ देश के विकास के लिए देश के मार्गों द्वारा किए गए कभी-कभी परिणाम और विशेषकर लाभ पर आगे की स्थिति में प्रवेश पर विचार कर रहे हैं।
",1
